vole,vole_2,day,title,runtime,finished,rounds_completed,args,script_path,script_setup,hardware_setup,output_path
7056,7062,15,novel_only_delay,6_19_2024__15_45,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7055,7180,11,novel_only_delay,6_20_2024__10_19,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7140,7178,11,novel_only_delay,6_20_2024__11_11,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7049,7178,16,novel_only_opposite_side_delay,6_20_2024__12_17,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7056,7180,16,novel_only_opposite_side_delay,6_20_2024__13_20,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7110,7174,11,novel_only_delay,6_20_2024__14_26,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7116,7062,11,novel_only_delay,6_20_2024__15_11,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7049,7062,17,novel_only_opposite_side_delay,6_21_2024__10_57,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7056,7061,17,novel_only_opposite_side_delay,6_21_2024__11_42,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7055,7064,12,novel_only_delay,6_21_2024__13_3,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
